Outcode,Neighbourhood,Radius
E1,E1 Head - Whitechapel,900
E2,Bethnal Green,600
E3,Bow,1500
E4,Chingford,2500
E5,Clapton,600
E6,East Ham,1500
E7,Forest Gate,1500
E8,Hackney,600
E9,Homerton,1500
E10,Leyton,1500
E11,Leytonstone,1500
E12,Manor Park,1500
E13,Plaistow,600
E14,Poplar,1500
E15,Stratford,1500
E16,Victoria Docks and North Woolwich,1500
E17,Walthamstow,2500
E18,Woodford and South Woodford,600
E20,Olympic Park,600
EC1,"EC1 City - Clerkenwell, Finsbury",600
EC2,Bishopsgate,600
EC3,Fenchurch Street,600
EC4,Fleet Street,600
N1,"N1 Head - Kings Cross, Islington, Hoxton",1000
N2,East Finchley,1500
N3,Finchley,1500
N4,Finsbury Park,1500
N5,Highbury,600
N6,Highgate,1500
N7,Holloway,1500
N8,Hornsey,1500
N9,Lower Edmonton,1500
N10,Muswell Hill,1500
N11,New Southgate,1500
N12,North Finchley,1500
N13,Palmers Green,1500
N14,Southgate,1500
N15,South Tottenham,1500
N16,Stoke Newington,1500
N17,Tottenham,1500
N18,Upper Edmonton,1500
N19,Upper Holloway,600
N20,Whetstone,2500
N21,Winchmore Hill,1500
N22,Wood Green,1500
NW1,"NW1 - Marylebone, Regents Park, Baker Street",1500
NW2,Cricklewood,1500
NW3,Hampstead,1500
NW4,Hendon,1500
NW5,Kentish Town,600
NW6,Kilburn,1500
NW7,Mill Hill,2500
NW8,St John's Wood,600
NW9,The Hyde,1500
NW10,Willesden,2500
NW11,Golders Green,1500
SE1,"SE1 Head - South Bank, Soutwark",1500
SE2,Abbey Wood,1500
SE3,Blackheath,1500
SE4,Brockley,1500
SE5,Camberwell,1500
SE6,Catford,1500
SE7,Charlton,1500
SE8,Deptford,1500
SE9,Eltham,2500
SE10,Greenwich,1500
SE11,Kennington,600
SE12,Lee,1500
SE13,Lewisham,1500
SE14,New Cross,600
SE15,Peckham,1500
SE16,Rotherhithe,1500
SE17,Walworth,600
SE18,Woolwich,1500
SE19,Norwood,1500
SE20,Anerley,600
SE21,Dulwich,1500
SE22,East Dulwich,1500
SE23,Forest Hill,1500
SE24,Herne Hill,600
SE25,South Norwood,1500
SE26,Sydenham,1500
SE27,West Norwood,600
SE28,Thamesmead,1500
SW1,"SW1 - Whitehall, Parliament, Buckingham Palace",600
SW2,Brixton,600
SW3,Chelsea,600
SW4,Clapham,600
SW5,Earls Court,600
SW6,Fulham,1000
SW7,South Kensington,600
SW8,South Lambeth,600
SW9,Stockwell,600
SW10,West Brompton,600
SW11,SW11 - Battersea,600
SW12,Balham,1500
SW13,Barnes,1500
SW14,Mortlake,1500
SW15,Putney,2500
SW16,Streatham,1500
SW17,Tooting,1500
SW18,Wandsworth,1500
SW19,Wimbledon,2500
SW20,West Wimbledon,1500
W1,"W1 Head - Westminster, Soho, Mayfair",600
W2,"W2 - Paddington, Hyde Park",1000
W3,Acton,1500
W4,Chiswick,1500
W5,Ealing,1500
W6,Hammersmith,1500
W7,Hanwell,1500
W8,Kensington,600
W9,Maida Hill,600
W10,North Kensington,600
W11,Notting Hill,600
W12,Shepherds Bush,1500
W13,West Ealing,1500
W14,West Kensington,1500
WC1,"WC1 Westminster - Bloomsbury, High Holborn",600
WC2,"WC2 City of Westminster, Strand",600
