Venue_category,Count,Category_Grouping
Cafe,593,Cafe
Italian Restaurant,226,Italian Restaurant
Pizza Place,198,Pizza Place
Bakery,180,Bakery
Indian Restaurant,169,Indian Restaurant
Fast Food Restaurant,143,Fast Food Restaurant
Sandwich Place,118,Sandwich Place
Restaurant,118,Restaurant
Turkish Restaurant,110,Turkish Restaurant
Chinese Restaurant,98,Chinese Restaurant
Burger Joint,87,"Steakhouse, Burger Joint"
Fish & Chips Shop,82,Fish & Chips Shop
Gastropub,77,Gastropub
Japanese Restaurant,74,Japanese Restaurant
Thai Restaurant,71,Thai Restaurant
Breakfast Spot,66,Breakfast Spot
Middle Eastern Restaurant,65,Middle Eastern Restaurant
French Restaurant,62,French Restaurant
Deli / Bodega,52,Deli / Bodega
Mediterranean Restaurant,50,Mediterranean Restaurant
Portuguese Restaurant,48,Portuguese Restaurant
Vietnamese Restaurant,48,Vietnamese Restaurant
Sushi Restaurant,45,Japanese Restaurant
Asian Restaurant,45,Asian Restaurant
English Restaurant,39,English Restaurant
Fried Chicken Joint,38,Fried Chicken Joint
Greek Restaurant,37,Greek Restaurant
Tapas Restaurant,35,Spanish Restaurant
Vegetarian / Vegan Restaurant,28,Vegetarian / Vegan Restaurant
Food Truck,27,"Food Truck, Snack Place"
Diner,26,Diner
Steakhouse,25,"Steakhouse, Burger Joint"
Mexican Restaurant,21,Mexican Restaurant
Bistro,21,Gastropub
Modern European Restaurant,20,Modern European Restaurant
Lebanese Restaurant,18,Mediterranean Restaurant
Kebab Restaurant,18,Turkish Restaurant
Persian Restaurant,16,Persian Restaurant
Korean Restaurant,16,Korean Restaurant
American Restaurant,16,American Restaurant
Seafood Restaurant,15,Seafood Restaurant
Caribbean Restaurant,15,Caribbean Restaurant
Falafel Restaurant,14,Mediterranean Restaurant
Spanish Restaurant,13,Spanish Restaurant
Argentinian Restaurant,13,South American Restaurant
BBQ Joint,12,"Steakhouse, Burger Joint"
Bagel Shop,12,Bagel Shop
Noodle House,12,Noodle House
Ramen Restaurant,12,Noodle House
Brazilian Restaurant,12,Brazilian Restaurant
Burrito Place,11,Mexican Restaurant
Creperie,10,Creperie
Malay Restaurant,9,Malay Restaurant
Salad Place,8,"Salad Place, Health Food"
Latin American Restaurant,7,Latin American Restaurant
Polish Restaurant,7,Polish Restaurant
Moroccan Restaurant,6,Moroccan Restaurant
Ethiopian Restaurant,6,Ethiopian Restaurant
African Restaurant,6,African Restaurant
Snack Place,6,"Food Truck, Snack Place"
Food Court,6,Food Court
Eastern European Restaurant,6,Eastern European Restaurant
Donut Shop,6,Bakery
Irish Pub,5,Irish Pub
Food,5,"Food Truck, Snack Place"
Dim Sum Restaurant,5,Chinese Restaurant
Peruvian Restaurant,5,South American Restaurant
New American Restaurant,5,American Restaurant
Pakistani Restaurant,4,Indian Restaurant
South Indian Restaurant,4,Indian Restaurant
Doner Restaurant,4,Turkish Restaurant
Scandinavian Restaurant,3,Scandinavian Restaurant
Brasserie,3,Gastropub
Wings Joint,3,Fried Chicken Joint
Afghan Restaurant,2,Persian Restaurant
South American Restaurant,2,South American Restaurant
Sri Lankan Restaurant,2,Indian Restaurant
Taco Place,2,Mexican Restaurant
Ukrainian Restaurant,2,Eastern European Restaurant
Souvlaki Shop,2,Greek Restaurant
Indonesian Restaurant,2,Malay Restaurant
Caucasian Restaurant,2,Turkish Restaurant
Austrian Restaurant,2,"German, Austrian Restaurant"
Israeli Restaurant,2,Israeli Restaurant
Bulgarian Restaurant,2,Eastern European Restaurant
Himalayan Restaurant,2,Indian Restaurant
Halal Restaurant,2,Halal Restaurant
Food Stand,2,"Food Truck, Snack Place"
Poke Place,1,Poke Place
Cigkofte Place,1,Turkish Restaurant
Taiwanese Restaurant,1,Chinese Restaurant
Churrascaria,1,South American Restaurant
Cafeteria,1,Cafe
Theme Restaurant,1,Theme Restaurant
Cajun / Creole Restaurant,1,American Restaurant
Comfort Food Restaurant,1,Comfort Food Restaurant
Australian Restaurant,1,Australian Restaurant
Szechuan Restaurant,1,Chinese Restaurant
Empanada Restaurant,1,Mexican Restaurant
Cuban Restaurant,1,Latin American Restaurant
Dumpling Restaurant,1,Chinese Restaurant
Mamak Restaurant,1,Malay Restaurant
Filipino Restaurant,1,Malay Restaurant
Southern / Soul Food Restaurant,1,American Restaurant
German Restaurant,1,"German, Austrian Restaurant"
Soup Place,1,"Salad Place, Health Food"
Gluten-free Restaurant,1,"Salad Place, Health Food"
Shabu-Shabu Restaurant,1,Japanese Restaurant
Hot Dog Joint,1,"Food Truck, Snack Place"
Romanian Restaurant,1,Eastern European Restaurant
Kosher Restaurant,1,Israeli Restaurant
Xinjiang Restaurant,1,Chinese Restaurant
