,Postal Code,Sector,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
277,EN48,Restaurants and Caffees,5.64563673261747,5.70808022354734,5.76256906040942,5.82993374129122,5.88262295431686,5.94509301067884,6.00501253247521,6.06095803233995,6.12481244187759,6.18102229835626
278,EN49,Restaurants and Caffees,4.69244860969605,4.74661687080241,4.79582676661778,4.85259649318322,4.89984286734043,4.95332312709356,5.00635599053496,5.05141293629435,5.10698005252933,5.15547136237812
279,EN51,Restaurants and Caffees,4.54646583516032,4.60158043882041,4.65189617047293,4.70858380640619,4.75631666871622,4.80977271449907,4.86357465681303,4.90753052630405,4.96326036911889,5.01169929750137
280,EN52,Restaurants and Caffees,5.5691788678501,5.62224296988208,5.66998500927837,5.73159584792176,5.77930207710839,5.83752827144824,5.89416313973769,5.94449225530931,6.00414186212607,6.05529609797749
281,EN53,Restaurants and Caffees,1.70379090180917,1.7221022861386,1.73831969913404,1.75889130405986,1.77429568179381,1.79348189871638,1.81262752547847,1.8282555832769,1.84763530173783,1.8638758049051
282,EN54,Restaurants and Caffees,3.70122207517096,3.74903809291537,3.79272157793072,3.84005059133029,3.88141854116368,3.9257268476924,3.97023176172982,4.00747769332443,4.05395240994836,4.09514801288861
283,EN55,Restaurants and Caffees,4.8511761475078,4.90962266218133,4.96372257125206,5.02264403108969,5.07624603754686,5.1317092633347,5.18750248363024,5.23694468383512,5.29619421110975,5.34987834283671
284,HA80,Restaurants and Caffees,3.17436576775174,3.19448662687979,3.21261119382354,3.23935101602652,3.26312407864978,3.28715628834636,3.30934253258982,3.33848776902008,3.36406576012847,3.38880547149417
285,HA87,Restaurants and Caffees,2.74666220114515,2.77865161683994,2.80884149146393,2.8418862242568,2.87123914058736,2.9028671228186,2.93509044089546,2.96095146669933,2.99448708586582,3.02381368081832
286,HA88,Restaurants and Caffees,7.9356124635491,8.03047194668085,8.11774038635289,8.21595439965907,8.29797786249413,8.39115178986418,8.48510084454728,8.55899673142973,8.65573310729478,8.73862351197865
287,HA89,Restaurants and Caffees,5.08511933189567,5.14020769643599,5.18994244603464,5.24867609302935,5.29794506864636,5.3528332185408,5.40626229439769,5.45542628100051,5.51251514943302,5.56329595758687
288,N101,Restaurants and Caffees,3.94454882054884,3.9904644637896,4.0334435660012,4.07882330083439,4.1241337361328,4.16609584497054,4.20844268743798,4.25048186997941,4.29651347721518,4.34044885707999
289,N111,Restaurants and Caffees,3.44005148470498,3.47066116145697,3.49896845862945,3.53331594349441,3.565091793285,3.59702484064682,3.62764164857662,3.66123410522063,3.6956334010276,3.72816045063657
290,N113,Restaurants and Caffees,4.19349956694603,4.24211819499855,4.28785958584595,4.33592110090741,4.38412668602183,4.4289537414374,4.47411438593019,4.51877959504266,4.5681863383061,4.6153292243277
291,N120,Restaurants and Caffees,3.86221983251103,3.90520155111861,3.94536302593981,3.98933808066476,4.03090315990149,4.07210902421041,4.11315791434759,4.15232387028077,4.19679312367877,4.23804837947281
292,N127,Restaurants and Caffees,4.62937342928219,4.69422442869879,4.75478714699586,4.81682869943164,4.87249365214464,4.93148569536985,4.99217576584157,5.03756966142187,5.0998286932013,5.15398872076246
293,N128,Restaurants and Caffees,3.94010783645339,3.98630606604578,4.03021600441915,4.07519773976826,4.12257124974951,4.16417306146576,4.20691534878477,4.24998546411975,4.29655606314905,4.34184581948568
294,N129,Restaurants and Caffees,3.90448651498438,3.95145033653653,3.99535190590956,4.04206758408428,4.08632391817678,4.13027566820088,4.17469640074518,4.21493548893062,4.2624650392672,4.30621125081577
295,N145,Restaurants and Caffees,4.01498983753995,4.06653476016664,4.11397737297286,4.16535385267498,4.20939885000385,4.25819182613936,4.30721592126876,4.34598176023878,4.39694135240607,4.44114814275565
296,N200,Restaurants and Caffees,5.45855274970523,5.51981820155226,5.57631878777113,5.64038998941104,5.69655868344261,5.75735969521346,5.81781724656675,5.87146454694171,5.93592663334804,5.99350642948208
297,N208,Restaurants and Caffees,3.86104359858479,3.91820173398839,3.97072516011687,4.0247711255118,4.07154209894715,4.12232800410084,4.17452335795116,4.21220524097118,4.26490758997112,4.31006076847262
298,N209,Restaurants and Caffees,3.16905248730983,3.21026003173349,3.2483339321016,3.2894879352114,3.32482551060828,3.36380287438857,3.40368516543279,3.43413343941356,3.47487890868326,3.5099817592534
299,N20,Restaurants and Caffees,6.62131906650503,6.70835014689331,6.79022235145214,6.8744664385533,6.95320765968192,7.03276411983278,7.11461727655734,7.18075141866834,7.26581764947123,7.34186648731681
300,N28,Restaurants and Caffees,2.57212834528848,2.59796590965242,2.62301219997466,2.64921693587299,2.67819032542402,2.70243371371571,2.72698118055192,2.75441261570755,2.78210807632853,2.80987281940696
301,N29,Restaurants and Caffees,4.56466683513476,4.624014167415,4.67978145728779,4.7368409006075,4.79143889621767,4.84519189537274,4.89997992287089,4.9468952341968,5.00485784673684,5.05773451933903
302,N31,Restaurants and Caffees,6.38852682638177,6.47294374497327,6.55237393851243,6.63330088591612,6.71108777824803,6.78734343700362,6.86587129905637,6.93217786638137,7.01467913360269,7.08989106323997
303,N32,Restaurants and Caffees,4.86175799369985,4.92087479221185,4.9763669587216,5.03378748151695,5.0917725534353,5.14501930137459,5.19913690825708,5.2520022462165,5.31068807746648,5.36678774261362
304,N33,Restaurants and Caffees,5.48038773943722,5.55065883213685,5.61650028898782,5.68618808522566,5.74872382716014,5.8149258884194,5.88297293858417,5.93614535817974,6.00626594625795,6.06766634334304
305,NW110,Restaurants and Caffees,3.72866466195678,3.77998081288496,3.8280995829161,3.87742303952641,3.92214113525031,3.9690703768787,4.01743545948792,4.05403541424549,4.10375226917091,4.14720502941773
306,NW116,Restaurants and Caffees,5.18694208322928,5.25857408123374,5.32561655743941,5.3943444190958,5.4565705225455,5.52180822769176,5.58884313114732,5.63987021416971,5.70884814061165,5.7692221810099
307,NW117,Restaurants and Caffees,4.27978904624028,4.33841102288023,4.39348188902297,4.44881707910845,4.5029017743631,4.55441684830699,4.60817291491648,4.65348229535194,4.70930866251893,4.76054983741761
308,NW118,Restaurants and Caffees,3.55827927293046,3.60581560266749,3.65042735706167,3.69575895813812,3.73962301306139,3.78200932065625,3.82586239058378,3.86318085249479,3.90902963489485,3.95101335682278
309,NW119,Restaurants and Caffees,4.43221731914291,4.48982037649457,4.54380124311479,4.60003724216807,4.65172809068872,4.70507929910868,4.75949944299392,4.80373932304793,4.86063658910236,4.91131637960601
310,NW21,Restaurants and Caffees,3.53310515969696,3.57012399529383,3.60434269124206,3.64293923978944,3.67936672569142,3.71521004178305,3.75038937140441,3.78636449393865,3.82508146270075,3.8615387805994
311,NW22,Restaurants and Caffees,3.45714877976037,3.4950089159308,3.53103954806843,3.5688417045904,3.60748067898587,3.64249489559274,3.67816867142883,3.71307864204132,3.75165648736322,3.78833414518552
312,NW41,Restaurants and Caffees,4.09267018360091,4.14260151229061,4.18949667775345,4.2400778445967,4.28545764003435,4.33360554086374,4.38281120446849,4.42253763897057,4.47366759986474,4.51870673962958
313,NW42,Restaurants and Caffees,4.03191699512294,4.08029331120092,4.12590727907017,4.17414266512963,4.2196369735259,4.26523734295836,4.31181203608222,4.35181902358083,4.40094933758266,4.44542570406092
314,NW43,Restaurants and Caffees,4.23008498338149,4.27775374657929,4.32147192730807,4.37091784944232,4.41450911043716,4.46088669726246,4.50665735353617,4.54840673589416,4.59734438853791,4.64142038841191
315,NW44,Restaurants and Caffees,4.29530909467709,4.34256967454334,4.38733521303787,4.43513211803785,4.48211154892499,4.52704062006813,4.57207655609152,4.61532079783339,4.66438145727312,4.71032771590508
316,NW71,Restaurants and Caffees,2.79743029142436,2.82872588434209,2.85745702315555,2.88981908396034,2.91910193200824,2.94925416002641,2.97930332497403,3.00749016795196,3.0396608472668,3.06909598193642
317,NW72,Restaurants and Caffees,4.16276559836218,4.21335328394269,4.25860623450755,4.31031457735632,4.3533572059213,4.40134792543101,4.44874816435738,4.48999152089526,4.53962415768369,4.58335421220513
318,NW73,Restaurants and Caffees,3.39466966113403,3.43717498514928,3.47598908252622,3.51852905640254,3.55543186239014,3.59546216049922,3.63537652079477,3.66914404432383,3.71113761849871,3.74830484262249
319,NW74,Restaurants and Caffees,3.55311407990056,3.60000072069938,3.64282856546238,3.68934191025508,3.72877032195577,3.77246762078333,3.81672082676622,3.85118453574786,3.89652128246661,3.93566747735782
320,NW95,Restaurants and Caffees,4.68274113270742,4.71352905810859,4.74392582660875,4.78226119042126,4.82241143784838,4.85805062966763,4.89255444140082,4.9357036247627,4.97584800863919,5.015636594986
